date,favorite,underdog,spread,models_pick_fav,models_pick_dog,consensus_count,consensus_side,consensus_avg_edge,consensus_predicted_cover,consensus_correct,actual_cover
2025-10-22,Cleveland,New York,1.5,0,4,4,UNDERDOG,0.018249297962088698,0,1,0.0
2025-10-22,Charlotte,Brooklyn,5.5,2,2,2,UNDERDOG,0.04732150484383375,0,0,1.0
2025-10-22,Orlando,Miami,8.5,1,3,3,UNDERDOG,0.050557908860398994,0,1,0.0
2025-10-22,Atlanta,Toronto,5.5,1,3,3,UNDERDOG,0.057947071421975395,0,1,0.0
2025-10-22,Boston,Philadelphia,4.5,1,3,3,UNDERDOG,0.0604346336110301,0,1,0.0
2025-10-22,Detroit,Chicago,2.5,0,4,4,UNDERDOG,0.04205882177161247,0,1,0.0
2025-10-22,Memphis,New Orleans,3.5,1,3,3,UNDERDOG,0.034137547612451566,0,0,1.0
2025-10-22,Milwaukee,Washington,10.5,2,2,2,UNDERDOG,0.038667429856274055,0,0,1.0
2025-10-22,La Clippers,Utah,9.5,0,4,4,UNDERDOG,0.018249297962088698,0,1,0.0
2025-10-22,Dallas,San Antonio,2.5,1,3,3,UNDERDOG,0.034137547612451566,0,1,0.0
2025-10-22,Phoenix,Sacramento,4.5,1,3,3,UNDERDOG,0.038716302191206135,0,1,0.0
2025-10-22,Minnesota,Portland,4.5,0,4,4,UNDERDOG,0.018249297962088698,0,1,0.0
2025-10-23,Okla City,Indiana,8.5,0,4,4,UNDERDOG,0.12752953705062578,0,1,0.0
2025-10-23,Golden State,Denver,2.5,2,2,2,UNDERDOG,0.0918905564914427,0,0,1.0
2025-10-24,Toronto,Milwaukee,1.5,3,1,3,FAVORITE,0.3669222872438953,1,0,0.0
2025-10-24,Orlando,Atlanta,4.5,4,0,4,FAVORITE,0.12146603917928095,1,0,0.0
2025-10-24,Cleveland,Brooklyn,11.5,2,2,2,UNDERDOG,0.2605852928601315,0,1,0.0
2025-10-24,New York,Boston,3.5,2,2,2,UNDERDOG,0.1244606501033254,0,0,1.0
2025-10-24,Houston,Detroit,6.5,2,2,2,UNDERDOG,0.24663430563127295,0,1,0.0
2025-10-24,Memphis,Miami,2.5,1,3,3,UNDERDOG,0.1083367706462523,0,1,0.0
2025-10-24,San Antonio,New Orleans,4.5,1,3,3,UNDERDOG,0.18782870094509044,0,1,0.0
2025-10-24,Dallas,Washington,9.5,1,3,3,UNDERDOG,0.12468042399374978,0,1,0.0
2025-10-24,Minnesota,La Lakers,2.5,2,2,2,UNDERDOG,0.19700514901981164,0,1,0.0
2025-10-24,Golden State,Portland,2.5,1,3,3,UNDERDOG,0.1609651414811142,0,1,0.0
2025-10-24,Sacramento,Utah,5.5,1,3,3,UNDERDOG,0.1870956851158991,0,1,0.0
2025-10-24,La Clippers,Phoenix,9.5,0,4,4,UNDERDOG,0.2842389505825719,0,0,1.0
2025-10-25,Orlando,Chicago,6.5,0,4,4,UNDERDOG,0.0808150441701698,0,0,1.0
2025-10-25,Okla City,Atlanta,6.5,1,3,3,UNDERDOG,0.23155121761588185,0,0,1.0
2025-10-25,Philadelphia,Charlotte,4.5,1,3,3,UNDERDOG,0.17632726888140238,0,1,0.0
2025-10-25,Memphis,Indiana,1.5,0,4,4,UNDERDOG,0.20052954550690488,0,0,1.0
2025-10-25,Denver,Phoenix,13.5,4,0,4,FAVORITE,0.11817795029410985,1,1,1.0
2025-10-26,San Antonio,Brooklyn,10.5,0,4,4,UNDERDOG,0.2627294659336847,0,1,0.0
2025-10-26,Detroit,Boston,3.5,1,3,3,UNDERDOG,0.20193860560889929,0,0,1.0
2025-10-26,Cleveland,Milwaukee,6.5,4,0,4,FAVORITE,0.22714376374181597,1,0,0.0
2025-10-26,New York,Miami,2.5,3,1,3,FAVORITE,0.2996299892152524,1,0,0.0
2025-10-26,Washington,Charlotte,2.5,4,0,4,FAVORITE,0.12046874258934333,1,0,0.0
2025-10-26,Minnesota,Indiana,12.5,1,3,3,UNDERDOG,0.07391342719442977,0,1,0.0
2025-10-26,Dallas,Toronto,1.5,1,3,3,UNDERDOG,0.15511050652755404,0,0,1.0
2025-10-26,La Clippers,Portland,8.5,3,1,3,FAVORITE,0.13801402407285865,1,0,0.0
2025-10-26,La Lakers,Sacramento,2.5,0,4,4,UNDERDOG,0.25581088616232783,0,0,1.0
2025-10-27,Cleveland,Detroit,2.5,3,1,3,FAVORITE,0.17138955491528815,1,1,1.0
2025-10-27,Orlando,Philadelphia,5.5,0,4,4,UNDERDOG,0.13896516112999727,0,1,0.0
2025-10-27,Atlanta,Chicago,2.5,0,4,4,UNDERDOG,0.31773765673798104,0,1,0.0
2025-10-27,Houston,Brooklyn,15.5,3,1,3,FAVORITE,0.28640733681390235,1,1,1.0
2025-10-27,New Orleans,Boston,1.5,2,2,2,UNDERDOG,0.2296809767385215,0,1,0.0
2025-10-27,San Antonio,Toronto,4.5,0,4,4,UNDERDOG,0.1867300957844224,0,1,0.0
2025-10-27,Okla City,Dallas,8.5,2,2,2,UNDERDOG,0.11651490462826015,0,1,0.0
2025-10-27,Utah,Phoenix,1.5,4,0,4,FAVORITE,0.20004062669079214,1,1,1.0
2025-10-27,Denver,Minnesota,6.5,4,0,4,FAVORITE,0.16045234008879727,1,1,1.0
2025-10-27,Golden State,Memphis,7.5,1,3,3,UNDERDOG,0.20500399196142347,0,1,0.0
2025-10-27,Portland,La Lakers,2.5,3,1,3,FAVORITE,0.1741759237176624,1,1,1.0
2025-10-28,Philadelphia,Washington,4.5,4,0,4,FAVORITE,0.14586671351440927,1,1,1.0
2025-10-28,Miami,Charlotte,6.5,4,0,4,FAVORITE,0.3103269647445441,1,1,1.0
2025-10-28,New York,Milwaukee,1.5,3,1,3,FAVORITE,0.0639469331487393,1,0,0.0
2025-10-28,Okla City,Sacramento,10.5,0,4,4,UNDERDOG,0.07003251887089078,0,1,0.0
2025-10-28,La Clippers,Golden State,1.5,4,0,4,FAVORITE,0.10683777434553893,1,0,0.0
2025-10-29,Houston,Toronto,5.5,0,4,4,UNDERDOG,0.27884651142857325,0,0,1.0
2025-10-29,Cleveland,Boston,3.5,2,2,2,UNDERDOG,0.02891772604366205,0,1,0.0
2025-10-29,Orlando,Detroit,1.5,4,0,4,FAVORITE,0.3399368969230939,1,0,0.0
2025-10-29,Atlanta,Brooklyn,8.5,2,2,2,UNDERDOG,0.21828182536087143,0,1,0.0
2025-10-29,Chicago,Sacramento,4.5,1,3,3,UNDERDOG,0.1919247151914698,0,0,1.0
2025-10-29,Dallas,Indiana,5.5,0,4,4,UNDERDOG,0.17900015329799734,0,1,0.0
2025-10-29,Denver,New Orleans,12.5,3,1,3,FAVORITE,0.1822153273531496,1,1,1.0
2025-10-29,Portland,Utah,3.5,4,0,4,FAVORITE,0.09088276012330955,1,0,0.0
2025-10-29,Minnesota,La Lakers,7.5,0,4,4,UNDERDOG,0.12004926313994838,0,1,0.0
2025-10-29,Memphis,Phoenix,1.5,1,3,3,UNDERDOG,0.016186563989900867,0,1,0.0
2025-10-30,Orlando,Charlotte,1.5,4,0,4,FAVORITE,0.17179844884605164,1,1,1.0
2025-10-30,Golden State,Milwaukee,3.5,0,4,4,UNDERDOG,0.19001861220938882,0,1,0.0
2025-10-30,Okla City,Washington,15.5,1,3,3,UNDERDOG,0.06075351864061831,0,1,0.0
2025-10-30,San Antonio,Miami,5.5,0,4,4,UNDERDOG,0.3231350316531566,0,1,0.0
2025-10-31,Atlanta,Indiana,2.5,0,4,4,UNDERDOG,0.19069497157661752,0,0,1.0
2025-10-31,Boston,Philadelphia,1.5,2,2,2,UNDERDOG,0.0393078484502493,0,1,0.0
2025-10-31,Cleveland,Toronto,4.5,4,0,4,FAVORITE,0.24585376437659806,1,0,0.0
2025-10-31,New York,Chicago,5.5,4,0,4,FAVORITE,0.1827860592821111,1,0,0.0
2025-10-31,Memphis,La Lakers,2.5,0,4,4,UNDERDOG,0.14014617476742564,0,0,1.0
2025-10-31,Phoenix,Utah,3.5,1,3,3,UNDERDOG,0.12707525865762068,0,0,1.0
2025-10-31,Denver,Portland,5.5,0,4,4,UNDERDOG,0.1574998986334201,0,1,0.0
2025-10-31,La Clippers,New Orleans,10.5,4,0,4,FAVORITE,0.3201322348312626,1,0,0.0
2025-11-01,Orlando,Washington,9.5,4,0,4,FAVORITE,0.3558488204690834,1,1,1.0
2025-11-01,Minnesota,Charlotte,4.5,4,0,4,FAVORITE,0.09410900640875923,1,1,1.0
2025-11-01,Golden State,Indiana,11.5,2,2,2,UNDERDOG,0.2788044219461508,0,1,0.0
2025-11-01,Houston,Boston,5.5,4,0,4,FAVORITE,0.1728061639140014,1,1,1.0
2025-11-01,Milwaukee,Sacramento,7.5,3,1,3,FAVORITE,0.15306197256033227,1,0,0.0
2025-11-01,Detroit,Dallas,7.5,0,4,4,UNDERDOG,0.09203199158088922,0,0,1.0
2025-11-02,Okla City,New Orleans,13.5,3,1,3,FAVORITE,0.04482933181708617,1,1,1.0
2025-11-02,Philadelphia,Brooklyn,5.5,4,0,4,FAVORITE,0.2617284789464576,1,1,1.0
2025-11-02,Charlotte,Utah,1.5,4,0,4,FAVORITE,0.17804632632239262,1,1,1.0
2025-11-02,Cleveland,Atlanta,6.5,1,3,3,UNDERDOG,0.0458340423522543,0,0,1.0
2025-11-02,Toronto,Memphis,4.5,1,3,3,UNDERDOG,0.0255863807868742,0,0,1.0
2025-11-02,New York,Chicago,7.5,4,0,4,FAVORITE,0.2753719187123271,1,1,1.0
2025-11-02,San Antonio,Phoenix,5.5,0,4,4,UNDERDOG,0.36217638756494885,0,1,0.0
2025-11-02,La Lakers,Miami,4.5,0,4,4,UNDERDOG,0.3006356365798366,0,1,0.0
2025-11-03,Minnesota,Brooklyn,8.5,3,1,3,FAVORITE,0.06890319128499367,1,1,1.0
2025-11-03,Milwaukee,Indiana,6.5,0,4,4,UNDERDOG,0.16636063983002142,0,1,0.0
2025-11-03,Boston,Utah,10.5,0,4,4,UNDERDOG,0.2030931292171168,0,1,0.0
2025-11-03,New York,Washington,12.5,0,4,4,UNDERDOG,0.07610340088145019,0,0,1.0
2025-11-03,Houston,Dallas,12.5,3,1,3,FAVORITE,0.17814799715401256,1,0,0.0
2025-11-03,Detroit,Memphis,4.5,0,4,4,UNDERDOG,0.16737884889821086,0,0,1.0
2025-11-03,Denver,Sacramento,11.5,4,0,4,FAVORITE,0.19597213205773628,1,0,0.0
2025-11-03,Portland,La Lakers,3.5,2,2,2,UNDERDOG,0.050293524419047705,0,1,0.0
2025-11-04,Toronto,Milwaukee,3.5,1,3,3,UNDERDOG,0.20664985098470612,0,0,1.0
2025-11-04,Orlando,Atlanta,3.5,3,1,3,FAVORITE,0.2604406349452228,1,0,0.0
2025-11-04,Chicago,Philadelphia,1.5,0,4,4,UNDERDOG,0.20320833935440016,0,0,1.0
2025-11-04,New Orleans,Charlotte,2.5,0,4,4,UNDERDOG,0.2217610559976863,0,0,1.0
2025-11-04,Golden State,Phoenix,10.5,0,4,4,UNDERDOG,0.19515068142828504,0,1,0.0
2025-11-04,Okla City,La Clippers,7.5,3,1,3,FAVORITE,0.06352726979047403,1,1,1.0
2025-11-05,Cleveland,Philadelphia,9.5,2,2,2,UNDERDOG,0.29508449126640535,0,0,1.0
2025-11-05,Detroit,Utah,9.5,0,4,4,UNDERDOG,0.16665382798343617,0,0,1.0
2025-11-05,Indiana,Brooklyn,6.5,3,1,3,FAVORITE,0.14428427493061716,1,0,0.0
2025-11-05,Boston,Washington,12.5,0,4,4,UNDERDOG,0.1841879306354985,0,0,1.0
2025-11-05,New York,Minnesota,4.5,0,4,4,UNDERDOG,0.13872657591341386,0,0,1.0
2025-11-05,Houston,Memphis,7.5,4,0,4,FAVORITE,0.21955716625374097,1,1,1.0
2025-11-05,Dallas,New Orleans,7.5,3,1,3,FAVORITE,0.09712004876194796,1,0,0.0
2025-11-05,Denver,Miami,9.5,4,0,4,FAVORITE,0.21520063243192084,1,1,1.0
2025-11-05,La Lakers,San Antonio,2.5,1,3,3,UNDERDOG,0.2180969840290372,0,1,0.0
2025-11-05,Okla City,Portland,4.5,3,1,3,FAVORITE,0.10318293591443102,1,0,0.0
2025-11-05,Sacramento,Golden State,2.5,0,4,4,UNDERDOG,0.12080037735076965,0,0,1.0
2025-11-06,Phoenix,La Clippers,2.5,1,3,3,UNDERDOG,0.1434476524548213,0,1,0.0
2025-11-07,Orlando,Boston,3.5,0,4,4,UNDERDOG,0.14023572356921293,0,0,1.0
2025-11-07,Cleveland,Washington,13.5,1,3,3,UNDERDOG,0.12732732081849762,0,0,1.0
2025-11-07,Atlanta,Toronto,2.5,0,4,4,UNDERDOG,0.07254408303238012,0,1,0.0
2025-11-07,Detroit,Brooklyn,10.5,0,4,4,UNDERDOG,0.09186744340258732,0,0,1.0
2025-11-07,Houston,San Antonio,4.5,3,1,3,FAVORITE,0.15940130165771635,1,0,0.0
2025-11-07,Miami,Charlotte,4.5,4,0,4,FAVORITE,0.2540484901350238,1,1,1.0
2025-11-07,Memphis,Dallas,4.5,0,4,4,UNDERDOG,0.0920248418848851,0,0,1.0
2025-11-07,Milwaukee,Chicago,4.5,4,0,4,FAVORITE,0.07259005067031245,1,1,1.0
2025-11-07,Minnesota,Utah,11.5,0,4,4,UNDERDOG,0.11857251876522816,0,0,1.0
2025-11-07,Denver,Golden State,10.5,4,0,4,FAVORITE,0.28295597939288086,1,1,1.0
2025-11-07,Okla City,Sacramento,10.5,4,0,4,FAVORITE,0.31091668292802643,1,1,1.0
2025-11-08,Dallas,Washington,4.5,1,3,3,UNDERDOG,0.09980057731435914,0,0,1.0
2025-11-08,Philadelphia,Toronto,5.5,0,4,4,UNDERDOG,0.0232020139258888,0,0,1.0
2025-11-08,La Lakers,Atlanta,3.5,1,3,3,UNDERDOG,0.29582872532121013,0,1,0.0
2025-11-08,Cleveland,Chicago,8.5,4,0,4,FAVORITE,0.09053889679756949,1,0,0.0
