date,game_id,home_team,away_team,favorite,underdog,spread,fav_votes,dog_votes,ensemble_pick_side,ensemble_pick_team,ensemble_correct
2025-10-23,2025-10-23_GoldenState_Denver,Golden State,Denver,Golden State,Denver,2.5,1,2,UNDERDOG,Denver,0
2025-10-23,2025-10-23_OklaCity_Indiana,Indiana,Okla City,Okla City,Indiana,8.5,0,3,UNDERDOG,Indiana,1
2025-10-24,2025-10-24_Cleveland_Brooklyn,Brooklyn,Cleveland,Cleveland,Brooklyn,11.5,1,2,UNDERDOG,Brooklyn,1
2025-10-24,2025-10-24_Dallas_Washington,Dallas,Washington,Dallas,Washington,9.5,1,3,UNDERDOG,Washington,1
2025-10-24,2025-10-24_GoldenState_Portland,Portland,Golden State,Golden State,Portland,2.5,1,2,UNDERDOG,Portland,1
2025-10-24,2025-10-24_LaClippers_Phoenix,La Clippers,Phoenix,La Clippers,Phoenix,9.5,0,4,UNDERDOG,Phoenix,0
2025-10-24,2025-10-24_Memphis_Miami,Memphis,Miami,Memphis,Miami,2.5,1,3,UNDERDOG,Miami,1
2025-10-24,2025-10-24_Orlando_Atlanta,Orlando,Atlanta,Orlando,Atlanta,4.5,4,0,FAVORITE,Orlando,0
2025-10-24,2025-10-24_Sacramento_Utah,Sacramento,Utah,Sacramento,Utah,5.5,0,3,UNDERDOG,Utah,1
2025-10-24,2025-10-24_SanAntonio_NewOrleans,New Orleans,San Antonio,San Antonio,New Orleans,4.5,1,3,UNDERDOG,New Orleans,1
2025-10-24,2025-10-24_Toronto_Milwaukee,Toronto,Milwaukee,Toronto,Milwaukee,1.5,3,1,FAVORITE,Toronto,0
2025-10-25,2025-10-25_Denver_Phoenix,Denver,Phoenix,Denver,Phoenix,13.5,4,0,FAVORITE,Denver,1
2025-10-25,2025-10-25_Memphis_Indiana,Memphis,Indiana,Memphis,Indiana,1.5,0,4,UNDERDOG,Indiana,0
2025-10-25,2025-10-25_OklaCity_Atlanta,Atlanta,Okla City,Okla City,Atlanta,6.5,1,3,UNDERDOG,Atlanta,0
2025-10-25,2025-10-25_Orlando_Chicago,Orlando,Chicago,Orlando,Chicago,6.5,0,4,UNDERDOG,Chicago,0
2025-10-25,2025-10-25_Philadelphia_Charlotte,Philadelphia,Charlotte,Philadelphia,Charlotte,4.5,1,3,UNDERDOG,Charlotte,1
2025-10-26,2025-10-26_Cleveland_Milwaukee,Cleveland,Milwaukee,Cleveland,Milwaukee,6.5,4,0,FAVORITE,Cleveland,0
2025-10-26,2025-10-26_Dallas_Toronto,Dallas,Toronto,Dallas,Toronto,1.5,1,3,UNDERDOG,Toronto,0
2025-10-26,2025-10-26_Detroit_Boston,Detroit,Boston,Detroit,Boston,3.5,1,3,UNDERDOG,Boston,0
2025-10-26,2025-10-26_LaClippers_Portland,La Clippers,Portland,La Clippers,Portland,8.5,3,1,FAVORITE,La Clippers,0
2025-10-26,2025-10-26_LaLakers_Sacramento,Sacramento,La Lakers,La Lakers,Sacramento,2.5,0,4,UNDERDOG,Sacramento,0
2025-10-26,2025-10-26_Minnesota_Indiana,Minnesota,Indiana,Minnesota,Indiana,12.5,1,3,UNDERDOG,Indiana,1
2025-10-26,2025-10-26_NewYork_Miami,Miami,New York,New York,Miami,2.5,3,1,FAVORITE,New York,0
2025-10-26,2025-10-26_SanAntonio_Brooklyn,Brooklyn,San Antonio,San Antonio,Brooklyn,10.5,0,4,UNDERDOG,Brooklyn,1
