date,favorite,underdog,spread,model_name,model_type,probability,predicted_cover,actual_cover,correct,week,Date,Favorite,Underdog,Fav. Odds,Dog Odds,fav_implied_prob,dog_implied_prob,model_fav_prob,model_dog_prob,regressed_fav_prob,regressed_dog_prob,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,regressed_prediction,regressed_correct
2025-10-22,Cleveland,New York,1.5,logistic,Away Favorite,0.5,0,0,True,43,2025-10-22,Cleveland,New York,-110,-110,0.5238095238095238,0.5238095238095238,0.5,0.5,0.5154761904761904,0.5154761904761904,-0.008333333333333415,-0.008333333333333415,-0.008333333333333415,underdog,1,0
2025-10-22,Charlotte,Brooklyn,5.5,logistic,Home Favorite,0.4818346592715066,0,1,False,43,2025-10-22,Charlotte,Brooklyn,109,-113,0.4784688995215311,0.5305164319248826,0.4818346592715066,0.5181653407284934,0.4796469154340225,0.5261935500061464,0.0011780159124913925,-0.004322881918736199,0.0011780159124913925,favorite,0,0
2025-10-22,Orlando,Miami,8.5,logistic,Home Favorite,0.4818346592715066,0,0,True,43,2025-10-22,Orlando,Miami,100,-103,0.5,0.5073891625615764,0.4818346592715066,0.5181653407284934,0.4936421307450273,0.5111608249199974,-0.006357869254972726,0.0037716623584209685,0.0037716623584209685,underdog,0,1
2025-10-22,Atlanta,Toronto,5.5,logistic,Home Favorite,0.4818346592715066,0,0,True,43,2025-10-22,Atlanta,Toronto,-101,100,0.5024875621890548,0.5,0.4818346592715066,0.5181653407284934,0.49525904616791294,0.5063578692549727,-0.007228516021141829,0.006357869254972726,0.006357869254972726,underdog,0,1
2025-10-22,Boston,Philadelphia,4.5,logistic,Home Favorite,0.4818346592715066,0,0,True,43,2025-10-22,Boston,Philadelphia,-104,101,0.5098039215686274,0.4975124378109453,0.4818346592715066,0.5181653407284934,0.5000146797646351,0.5047409538320872,-0.009789241803992321,0.007228516021141884,0.007228516021141884,underdog,1,0
2025-10-22,Detroit,Chicago,2.5,logistic,Away Favorite,0.5,0,0,True,43,2025-10-22,Detroit,Chicago,-105,100,0.5121951219512195,0.5,0.5,0.5,0.5079268292682927,0.5,-0.004268292682926833,0.0,0.0,underdog,1,0
2025-10-22,Memphis,New Orleans,3.5,logistic,Home Favorite,0.4818346592715066,0,1,False,43,2025-10-22,Memphis,New Orleans,-110,-110,0.5238095238095238,0.5238095238095238,0.4818346592715066,0.5181653407284934,0.5091183212212178,0.5218340597311631,-0.01469120258830603,-0.001975464078360689,-0.001975464078360689,underdog,1,1
2025-10-22,Milwaukee,Washington,10.5,logistic,Home Favorite,0.4818346592715066,0,1,False,43,2025-10-22,Milwaukee,Washington,105,-117,0.4878048780487805,0.5391705069124424,0.4818346592715066,0.5181653407284934,0.4857153014767346,0.5318186987480602,-0.0020895765720458925,-0.00735180816438219,-0.0020895765720458925,favorite,0,0
2025-10-22,La Clippers,Utah,9.5,logistic,Away Favorite,0.5,0,0,True,43,2025-10-22,La Clippers,Utah,-110,-110,0.5238095238095238,0.5238095238095238,0.5,0.5,0.5154761904761904,0.5154761904761904,-0.008333333333333415,-0.008333333333333415,-0.008333333333333415,underdog,1,0
2025-10-22,Dallas,San Antonio,2.5,logistic,Home Favorite,0.4818346592715066,0,0,True,43,2025-10-22,Dallas,San Antonio,-110,-110,0.5238095238095238,0.5238095238095238,0.4818346592715066,0.5181653407284934,0.5091183212212178,0.5218340597311631,-0.01469120258830603,-0.001975464078360689,-0.001975464078360689,underdog,1,0
