date,game_id,home_team,away_team,favorite_team,underdog_team,spread,model_name,pick_side,pick_team,pick_line,result
2025-10-23,2025-10-23_OklaCity_Indiana,Indiana,Okla City,Okla City,Indiana,8.5,Logistic,NO BET,,,NO BET
2025-10-23,2025-10-23_OklaCity_Indiana,Indiana,Okla City,Okla City,Indiana,8.5,Linear,UNDERDOG,Indiana,8.5,WIN
2025-10-23,2025-10-23_OklaCity_Indiana,Indiana,Okla City,Okla City,Indiana,8.5,Random Forest,UNDERDOG,Indiana,8.5,WIN
2025-10-23,2025-10-23_OklaCity_Indiana,Indiana,Okla City,Okla City,Indiana,8.5,Decision Tree,UNDERDOG,Indiana,8.5,WIN
2025-10-23,2025-10-23_GoldenState_Denver,Golden State,Denver,Golden State,Denver,2.5,Logistic,NO BET,,,NO BET
2025-10-23,2025-10-23_GoldenState_Denver,Golden State,Denver,Golden State,Denver,2.5,Linear,FAVORITE,Golden State,-2.5,WIN
2025-10-23,2025-10-23_GoldenState_Denver,Golden State,Denver,Golden State,Denver,2.5,Random Forest,UNDERDOG,Denver,2.5,LOSS
2025-10-23,2025-10-23_GoldenState_Denver,Golden State,Denver,Golden State,Denver,2.5,Decision Tree,UNDERDOG,Denver,2.5,LOSS
2025-10-24,2025-10-24_Toronto_Milwaukee,Toronto,Milwaukee,Toronto,Milwaukee,1.5,Logistic,FAVORITE,Toronto,-1.5,LOSS
2025-10-24,2025-10-24_Toronto_Milwaukee,Toronto,Milwaukee,Toronto,Milwaukee,1.5,Linear,FAVORITE,Toronto,-1.5,LOSS
2025-10-24,2025-10-24_Toronto_Milwaukee,Toronto,Milwaukee,Toronto,Milwaukee,1.5,Random Forest,UNDERDOG,Milwaukee,1.5,WIN
2025-10-24,2025-10-24_Toronto_Milwaukee,Toronto,Milwaukee,Toronto,Milwaukee,1.5,Decision Tree,FAVORITE,Toronto,-1.5,LOSS
2025-10-24,2025-10-24_Orlando_Atlanta,Orlando,Atlanta,Orlando,Atlanta,4.5,Logistic,FAVORITE,Orlando,-4.5,LOSS
2025-10-24,2025-10-24_Orlando_Atlanta,Orlando,Atlanta,Orlando,Atlanta,4.5,Linear,FAVORITE,Orlando,-4.5,LOSS
2025-10-24,2025-10-24_Orlando_Atlanta,Orlando,Atlanta,Orlando,Atlanta,4.5,Random Forest,FAVORITE,Orlando,-4.5,LOSS
2025-10-24,2025-10-24_Orlando_Atlanta,Orlando,Atlanta,Orlando,Atlanta,4.5,Decision Tree,FAVORITE,Orlando,-4.5,LOSS
2025-10-24,2025-10-24_Cleveland_Brooklyn,Brooklyn,Cleveland,Cleveland,Brooklyn,11.5,Logistic,UNDERDOG,Brooklyn,11.5,WIN
2025-10-24,2025-10-24_Cleveland_Brooklyn,Brooklyn,Cleveland,Cleveland,Brooklyn,11.5,Linear,FAVORITE,Cleveland,-11.5,LOSS
2025-10-24,2025-10-24_Cleveland_Brooklyn,Brooklyn,Cleveland,Cleveland,Brooklyn,11.5,Random Forest,NO BET,,,NO BET
2025-10-24,2025-10-24_Cleveland_Brooklyn,Brooklyn,Cleveland,Cleveland,Brooklyn,11.5,Decision Tree,UNDERDOG,Brooklyn,11.5,WIN
2025-10-24,2025-10-24_NewYork_Boston,New York,Boston,New York,Boston,3.5,Logistic,FAVORITE,New York,-3.5,WIN
2025-10-24,2025-10-24_NewYork_Boston,New York,Boston,New York,Boston,3.5,Linear,FAVORITE,New York,-3.5,WIN
2025-10-24,2025-10-24_NewYork_Boston,New York,Boston,New York,Boston,3.5,Random Forest,UNDERDOG,Boston,3.5,LOSS
2025-10-24,2025-10-24_NewYork_Boston,New York,Boston,New York,Boston,3.5,Decision Tree,UNDERDOG,Boston,3.5,LOSS
2025-10-24,2025-10-24_Houston_Detroit,Houston,Detroit,Houston,Detroit,6.5,Logistic,FAVORITE,Houston,-6.5,LOSS
2025-10-24,2025-10-24_Houston_Detroit,Houston,Detroit,Houston,Detroit,6.5,Linear,FAVORITE,Houston,-6.5,LOSS
2025-10-24,2025-10-24_Houston_Detroit,Houston,Detroit,Houston,Detroit,6.5,Random Forest,UNDERDOG,Detroit,6.5,WIN
2025-10-24,2025-10-24_Houston_Detroit,Houston,Detroit,Houston,Detroit,6.5,Decision Tree,UNDERDOG,Detroit,6.5,WIN
2025-10-24,2025-10-24_Memphis_Miami,Memphis,Miami,Memphis,Miami,2.5,Logistic,UNDERDOG,Miami,2.5,WIN
2025-10-24,2025-10-24_Memphis_Miami,Memphis,Miami,Memphis,Miami,2.5,Linear,UNDERDOG,Miami,2.5,WIN
2025-10-24,2025-10-24_Memphis_Miami,Memphis,Miami,Memphis,Miami,2.5,Random Forest,UNDERDOG,Miami,2.5,WIN
2025-10-24,2025-10-24_Memphis_Miami,Memphis,Miami,Memphis,Miami,2.5,Decision Tree,FAVORITE,Memphis,-2.5,LOSS
2025-10-24,2025-10-24_SanAntonio_NewOrleans,New Orleans,San Antonio,San Antonio,New Orleans,4.5,Logistic,UNDERDOG,New Orleans,4.5,WIN
2025-10-24,2025-10-24_SanAntonio_NewOrleans,New Orleans,San Antonio,San Antonio,New Orleans,4.5,Linear,UNDERDOG,New Orleans,4.5,WIN
2025-10-24,2025-10-24_SanAntonio_NewOrleans,New Orleans,San Antonio,San Antonio,New Orleans,4.5,Random Forest,FAVORITE,San Antonio,-4.5,LOSS
