Date,Home,Away,Home Score,Away Score,Winner,Status
2025-10-27,Detroit,Cleveland,95,116,Cleveland,STATUS_FINAL
2025-10-27,Philadelphia,Orlando,136,124,Philadelphia,STATUS_FINAL
2025-10-27,Chicago,Atlanta,128,123,Chicago,STATUS_FINAL
2025-10-27,Houston,Brooklyn,137,109,Houston,STATUS_FINAL
2025-10-27,New Orleans,Boston,90,122,Boston,STATUS_FINAL
2025-10-27,San Antonio,Toronto,121,103,San Antonio,STATUS_FINAL
2025-10-27,Dallas,Oklahoma City,94,101,Oklahoma City,STATUS_FINAL
2025-10-27,Utah,Phoenix,138,134,Utah,STATUS_FINAL
2025-10-27,Minnesota,Denver,114,127,Denver,STATUS_FINAL
2025-10-27,Golden State,Memphis,131,118,Golden State,STATUS_FINAL
2025-10-27,Los Angeles,Portland,108,122,Portland,STATUS_FINAL
