fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
DEN,MIA,-2.5,2.5,0.485,0.519,+106,-108,0,2025-12-29T19:35:00-05:00,MIA +2.5,2025-12-29T17:41:01.328+00:00
SAS,CLE,-3.5,3.5,0.495,0.529,+102,-112,0,2025-12-29T20:05:00-05:00,SAS -3.5,2025-12-29T17:33:27.682+00:00
NYK,NOP,-8.5,8.5,0.506,0.51,-102,-104,0,2025-12-29T20:05:00-05:00,NOP +8.5,2025-12-29T17:23:09.42+00:00
OKC,ATL,-16.5,16.5,0.492,0.515,+103,-106,0,2025-12-29T20:05:00-05:00,OKC -16.5,2025-12-29T17:24:11.353+00:00
HOU,IND,-15.5,15.5,0.507,0.508,-103,-103,1,2025-12-29T20:05:00-05:00,HOU -15.5,2025-12-29T17:31:28.989+00:00
MIN,CHI,-6.5,6.5,0.501,0.507,-100,-103,0,2025-12-29T20:05:00-05:00,CHI +6.5,2025-12-29T17:42:14.582+00:00
MIL,CHA,-3.5,3.5,0.504,0.512,-102,-105,0,2025-12-29T19:05:00-05:00,CHA +3.5,2025-12-29T17:26:54.972+00:00
GSW,BKN,-5.5,5.5,0.507,0.5,-103,+100,0,2025-12-29T19:35:00-05:00,BKN +5.5,2025-12-29T17:41:09.905+00:00
ORL,TOR,-1.5,1.5,0.519,0.498,-108,+101,0,2025-12-29T19:35:00-05:00,TOR +1.5,2025-12-29T17:37:24.035+00:00
PHX,WAS,-10.5,10.5,0.519,0.499,-108,+100,0,2025-12-29T19:05:00-05:00,WAS +10.5,2025-12-29T17:41:52.351+00:00
POR,DAL,-2.5,2.5,0.539,0.49,-117,+104,1,2025-12-29T22:35:00-05:00,POR -2.5,2025-12-29T17:35:01.677+00:00
