Date,Favorite,Favorite Score,Underdog,Underdog Score,Spread,Fav. At Home?,Winner,Favorite - Underdog (+/-),Favorite Cover?,Favorite Win?,Away,Away Score,Home,Home Score,Home/Away +/-,Favorite PPG,Underdog PPG,Favorite PPG L3,Underdog PPG L3,Favorite PPG L1,Underdog PPG L1,Favorite PPG Home,Underdog PPG Home,Favorite PPG Away,Underdog PPG Away,Favorite PPGA,Underdog PPGA,Favorite PPGA L3,Underdog PPGA L3,Favorite PPGA L1,Underdog PPGA L1,Favorite PPGA Home,Underdog PPGA Home,Favorite PPGA Away,Underdog PPGA Away,Favorite Off. Efficiency,Underdog Off. Efficiency,Favorite Off. Efficiency L3,Underdog Off. Efficiency L3,Favorite Off. Efficiency L1,Underdog Off. Efficiency L1,Favorite Off. Efficiency Home,Underdog Off. Efficiency Home,Favorite Off. Efficiency Away,Underdog Off. Efficiency Away,Favorite Def. Efficiency,Underdog Def. Efficiency,Favorite Def. Efficiency L3,Underdog Def. Efficiency L3,Favorite Def. Efficiency L1,Underdog Def. Efficiency L1,Favorite Def. Efficiency Home,Underdog Def. Efficiency Home,Favorite Def. Efficiency Away,Underdog Def. Efficiency Away,Favorite Winning % in Close Games,Underdog Winning % in Close Games,Favorite Opp. Winning % in Close Games,Underdog Opp. Winning % in Close Games,Favorite 3 Pointers P/G,Underdog 3 Pointers P/G,Favorite 3 Pointers P/G L3,Underdog 3 Pointers P/G L3,Favorite 3 Pointers P/G L1,Underdog 3 Pointers P/G L1,Favorite 3 Pointers P/G Home,Underdog 3 Pointers P/G Home,Favorite 3 Pointers P/G Away,Underdog 3 Pointers P/G Away,Favorite Opp. 3 Pointers P/G,Underdog Opp. 3 Pointers P/G,Favorite Opp. 3 Pointers P/G L3,Underdog Opp. 3 Pointers P/G L3,Favorite Opp. 3 Pointers P/G L1,Underdog Opp. 3 Pointers P/G L1,Favorite Opp. 3 Pointers P/G Home,Underdog Opp. 3 Pointers P/G Home,Favorite Opp. 3 Pointers P/G Away,Underdog Opp. 3 Pointers P/G Away,Favorite Off. Rebounds P/G,Underdog Off. Rebounds P/G,Favorite Off. Rebounds P/G L3,Underdog Off. Rebounds P/G L3,Favorite Off. Rebounds P/G L1,Underdog Off. Rebounds P/G L1,Favorite Off. Rebounds P/G Home,Underdog Off. Rebounds P/G Home,Favorite Off. Rebounds P/G Away,Underdog Off. Rebounds P/G Away,Favorite Def. Rebounds P/G,Underdog Def. Rebounds P/G,Favorite Def. Rebounds P/G L3,Underdog Def. Rebounds P/G L3,Favorite Def. Rebounds P/G L1,Underdog Def. Rebounds P/G L1,Favorite Def. Rebounds P/G Home,Underdog Def. Rebounds P/G Home,Favorite Def. Rebounds P/G Away,Underdog Def. Rebounds P/G Away,Favorite Total Rebound %,Underdog Total Rebound %,Favorite Total Rebound % L3,Underdog Total Rebound % L3,Favorite Total Rebound % L1,Underdog Total Rebound % L1,Favorite Total Rebound % Home,Underdog Total Rebound % Home,Favorite Total Rebound % Away,Underdog Total Rebound % Away,Favorite Blocks P/G,Underdog Blocks P/G,Favorite Blocks P/G L3,Underdog Blocks P/G L3,Favorite Blocks P/G L1,Underdog Blocks P/G L1,Favorite Blocks P/G Home,Underdog Blocks P/G Home,Favorite Blocks P/G Away,Underdog Blocks P/G Away,Favorite Opp. Blocks P/G,Underdog Opp. Blocks P/G,Favorite Opp. Blocks P/G L3,Underdog Opp. Blocks P/G L3,Favorite Opp. Blocks P/G L1,Underdog Opp. Blocks P/G L1,Favorite Opp. Blocks P/G Home,Underdog Opp. Blocks P/G Home,Favorite Opp. Blocks P/G Away,Underdog Opp. Blocks P/G Away,Favorite Steals P/G,Underdog Steals P/G,Favorite Steals P/G L3,Underdog Steals P/G L3,Favorite Steals P/G L1,Underdog Steals P/G L1,Favorite Steals P/G Home,Underdog Steals P/G Home,Favorite Steals P/G Away,Underdog Steals P/G Away,Favorite Opp. Steals P/G,Underdog Opp. Steals P/G,Favorite Opp. Steals P/G L3,Underdog Opp. Steals P/G L3,Favorite Opp. Steals P/G L1,Underdog Opp. Steals P/G L1,Favorite Opp. Steals P/G Home,Underdog Opp. Steals P/G Home,Favorite Opp. Steals P/G Away,Underdog Opp. Steals P/G Away,Favorite Steals Per. Defensive Play,Underdog Steals Per. Defensive Play,Favorite Steals Per. Defensive Play L3,Underdog Steals Per. Defensive Play L3,Favorite Steals Per. Defensive Play L1,Underdog Steals Per. Defensive Play L1,Favorite Steals Per. Defensive Play Home,Underdog Steals Per. Defensive Play Home,Favorite Steals Per. Defensive Play Away,Underdog Steals Per. Defensive Play Away,Favorite Opp. Steals Per. Defensive Play,Underdog Opp. Steals Per. Defensive Play,Favorite Opp. Steals Per. Defensive Play L3,Underdog Opp. Steals Per. Defensive Play L3,Favorite Opp. Steals Per. Defensive Play L1,Underdog Opp. Steals Per. Defensive Play L1,Favorite Opp. Steals Per. Defensive Play Home,Underdog Opp. Steals Per. Defensive Play Home,Favorite Opp. Steals Per. Defensive Play Away,Underdog Opp. Steals Per. Defensive Play Away,Favorite Assists Per Game,Underdog Assists Per Game,Favorite Assists Per Game L3,Underdog Assists Per Game L3,Favorite Assists Per Game L1,Underdog Assists Per Game L1,Favorite Assists Per Game Home,Underdog Assists Per Game Home,Favorite Assists Per Game Away,Underdog Assists Per Game Away,Favorite Opp. Assists Per Game,Underdog Opp. Assists Per Game,Favorite Opp. Assists Per Game L3,Underdog Opp. Assists Per Game L3,Favorite Opp. Assists Per Game L1,Underdog Opp. Assists Per Game L1,Favorite Opp. Assists Per Game Home,Underdog Opp. Assists Per Game Home,Favorite Opp. Assists Per Game Away,Underdog Opp. Assists Per Game Away,Favorite Turnovers P/G,Underdog Turnovers P/G,Favorite Turnovers P/G L3,Underdog Turnovers P/G L3,Favorite Turnovers P/G L1,Underdog Turnovers P/G L1,Favorite Turnovers P/G Home,Underdog Turnovers P/G Home,Favorite Turnovers P/G Away,Underdog Turnovers P/G Away,Favorite Opp. Turnovers P/G,Underdog Opp. Turnovers P/G,Favorite Opp. Turnovers P/G L3,Underdog Opp. Turnovers P/G L3,Favorite Opp. Turnovers P/G L1,Underdog Opp. Turnovers P/G L1,Favorite Opp. Turnovers P/G Home,Underdog Opp. Turnovers P/G Home,Favorite Opp. Turnovers P/G Away,Underdog Opp. Turnovers P/G Away,Favorite Effective Posession Ratio,Underdog Effective Posession Ratio,Favorite Effective Posession Ratio L3,Underdog Effective Posession Ratio L3,Favorite Effective Posession Ratio L1,Underdog Effective Posession Ratio L1,Favorite Effective Posession Ratio Home,Underdog Effective Posession Ratio Home,Favorite Effective Posession Ratio Away,Underdog Effective Posession Ratio Away,Favorite Opp. Effective Posession Ratio,Underdog Opp. Effective Posession Ratio,Favorite Opp. Effective Posession Ratio L3,Underdog Opp. Effective Posession Ratio L3,Favorite Opp. Effective Posession Ratio L1,Underdog Opp. Effective Posession Ratio L1,Favorite Opp. Effective Posession Ratio Home,Underdog Opp. Effective Posession Ratio Home,Favorite Opp. Effective Posession Ratio Away,Underdog Opp. Effective Posession Ratio Away
24-Oct,Toronto,,Milwaukee,,1.5,1,,,,,Milwaukee,,Toronto,,,138.000,133.000,138.000,133.000,138.000,133.000,--,133.000,138.000,--,118.000,120.000,118.000,120.000,118.000,120.000,--,120.000,118.000,--,1.198,1.231,1.198,1.231,1.198,1.231,--,1.231,1.198,--,1.025,1.111,1.025,1.111,1.025,1.111,--,1.111,1.025,--,--,--,--,--,6.000,18.000,6.000,18.000,6.000,18.000,--,18.000,6.000,--,10.000,17.000,10.000,17.000,10.000,17.000,--,17.000,10.000,--,12.000,6.000,12.000,6.000,12.000,6.000,--,6.000,12.000,--,42.000,40.000,42.000,40.000,42.000,40.000,--,40.000,42.000,--,0.577,0.442,0.577,0.442,0.577,0.442,--,0.442,0.577,--,4.000,6.000,4.000,6.000,4.000,6.000,--,6.000,4.000,--,6.000,4.000,6.000,4.000,6.000,4.000,--,4.000,6.000,--,10.000,8.000,10.000,8.000,10.000,8.000,--,8.000,10.000,--,7.000,5.000,7.000,5.000,7.000,5.000,--,5.000,7.000,--,0.081,0.066,0.081,0.066,0.081,0.066,--,0.066,0.081,--,0.055,0.044,0.055,0.044,0.055,0.044,--,0.044,0.055,--,36.000,31.000,36.000,31.000,36.000,31.000,--,31.000,36.000,--,25.000,23.000,25.000,23.000,25.000,23.000,--,23.000,25.000,--,19.000,8.000,19.000,8.000,19.000,8.000,--,8.000,19.000,--,15.000,13.000,15.000,13.000,15.000,13.000,--,13.000,15.000,--,0.939,0.981,0.939,0.981,0.939,0.981,--,0.981,0.939,--,0.939,1.000,0.939,1.000,0.939,1.000,--,1.000,0.939,--
24-Oct,Orlando,,Atlanta,,4.5,1,,,,,Atlanta,,Orlando,,,125.000,118.000,125.000,118.000,125.000,118.000,125.000,118.000,--,--,121.000,138.000,121.000,138.000,121.000,138.000,121.000,138.000,--,--,1.119,1.025,1.119,1.025,1.119,1.025,1.119,1.025,--,--,1.083,1.198,1.083,1.198,1.083,1.198,1.083,1.198,--,--,1.000,--,0.000,--,12.000,10.000,12.000,10.000,12.000,10.000,12.000,10.000,--,--,12.000,6.000,12.000,6.000,12.000,6.000,12.000,6.000,--,--,9.000,8.000,9.000,8.000,9.000,8.000,9.000,8.000,--,--,37.000,26.000,37.000,26.000,37.000,26.000,37.000,26.000,--,--,0.495,0.423,0.495,0.423,0.495,0.423,0.495,0.423,--,--,7.000,6.000,7.000,6.000,7.000,6.000,7.000,6.000,--,--,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,--,--,8.000,7.000,8.000,7.000,8.000,7.000,8.000,7.000,--,--,9.000,10.000,9.000,10.000,9.000,10.000,9.000,10.000,--,--,0.066,0.055,0.066,0.055,0.066,0.055,0.066,0.055,--,--,0.075,0.081,0.075,0.081,0.075,0.081,0.075,0.081,--,--,23.000,25.000,23.000,25.000,23.000,25.000,23.000,25.000,--,--,26.000,36.000,26.000,36.000,26.000,36.000,26.000,36.000,--,--,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,--,--,17.000,19.000,17.000,19.000,17.000,19.000,17.000,19.000,--,--,0.946,0.939,0.946,0.939,0.946,0.939,0.946,0.939,--,--,0.937,0.939,0.937,0.939,0.937,0.939,0.937,0.939,--,--
24-Oct,Cleveland,,Brooklyn,,12.5,0,,,,,Cleveland,,Brooklyn,,,111.000,117.000,111.000,117.000,111.000,117.000,--,--,111.000,117.000,119.000,136.000,119.000,136.000,119.000,136.000,--,--,119.000,136.000,1.039,1.074,1.039,1.074,1.039,1.074,--,--,1.039,1.074,1.114,1.249,1.114,1.249,1.114,1.249,--,--,1.114,1.249,--,--,--,--,19.000,14.000,19.000,14.000,19.000,14.000,--,--,19.000,14.000,14.000,17.000,14.000,17.000,14.000,17.000,--,--,14.000,17.000,4.000,12.000,4.000,12.000,4.000,12.000,--,--,4.000,12.000,28.000,26.000,28.000,26.000,28.000,26.000,--,--,28.000,26.000,0.463,0.396,0.463,0.396,0.463,0.396,--,--,0.463,0.396,4.000,3.000,4.000,3.000,4.000,3.000,--,--,4.000,3.000,4.000,5.000,4.000,5.000,4.000,5.000,--,--,4.000,5.000,8.000,8.000,8.000,8.000,8.000,8.000,--,--,8.000,8.000,8.000,5.000,8.000,5.000,8.000,5.000,--,--,8.000,5.000,0.069,0.065,0.069,0.065,0.069,0.065,--,--,0.069,0.065,0.072,0.041,0.072,0.041,0.072,0.041,--,--,0.072,0.041,21.000,25.000,21.000,25.000,21.000,25.000,--,--,21.000,25.000,22.000,33.000,22.000,33.000,22.000,33.000,--,--,22.000,33.000,15.000,17.000,15.000,17.000,15.000,17.000,--,--,15.000,17.000,14.000,17.000,14.000,17.000,14.000,17.000,--,--,14.000,17.000,0.897,0.954,0.897,0.954,0.897,0.954,--,--,0.897,0.954,0.953,0.972,0.953,0.972,0.953,0.972,--,--,0.953,0.972
24-Oct,New York,,Boston,,3.5,1,,,,,Boston,,New York,,,119.000,116.000,119.000,116.000,119.000,116.000,119.000,116.000,--,--,111.000,117.000,111.000,117.000,111.000,117.000,111.000,117.000,--,--,1.114,1.118,1.114,1.118,1.114,1.118,1.114,1.118,--,--,1.039,1.127,1.039,1.127,1.039,1.127,1.039,1.127,--,--,--,0.000,--,1.000,14.000,11.000,14.000,11.000,14.000,11.000,14.000,11.000,--,--,19.000,16.000,19.000,16.000,19.000,16.000,19.000,16.000,--,--,9.000,10.000,9.000,10.000,9.000,10.000,9.000,10.000,--,--,39.000,32.000,39.000,32.000,39.000,32.000,39.000,32.000,--,--,0.537,0.481,0.537,0.481,0.537,0.481,0.537,0.481,--,--,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,--,--,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,--,--,8.000,7.000,8.000,7.000,8.000,7.000,8.000,7.000,--,--,8.000,3.000,8.000,3.000,8.000,3.000,8.000,3.000,--,--,0.072,0.062,0.072,0.062,0.072,0.062,0.072,0.062,--,--,0.069,0.026,0.069,0.026,0.069,0.026,0.069,0.026,--,--,22.000,16.000,22.000,16.000,22.000,16.000,22.000,16.000,--,--,21.000,23.000,21.000,23.000,21.000,23.000,21.000,23.000,--,--,14.000,11.000,14.000,11.000,14.000,11.000,14.000,11.000,--,--,15.000,14.000,15.000,14.000,15.000,14.000,15.000,14.000,--,--,0.953,0.990,0.953,0.990,0.953,0.990,0.953,0.990,--,--,0.897,0.961,0.897,0.961,0.897,0.961,0.897,0.961,--,--
24-Oct,Houston,,Detroit,,6.5,1,,,,,Detroit,,Houston,,,124.000,111.000,124.000,111.000,124.000,111.000,--,--,124.000,111.000,125.000,115.000,125.000,115.000,125.000,115.000,--,--,125.000,115.000,1.053,1.035,1.053,1.035,1.053,1.035,--,--,1.053,1.035,1.061,1.072,1.061,1.072,1.061,1.072,--,--,1.061,1.072,0.000,0.000,1.000,1.000,11.000,7.000,11.000,7.000,11.000,7.000,--,--,11.000,7.000,13.000,11.000,13.000,11.000,13.000,11.000,--,--,13.000,11.000,16.000,13.000,16.000,13.000,16.000,13.000,--,--,16.000,13.000,35.000,33.000,35.000,33.000,35.000,33.000,--,--,35.000,33.000,0.590,0.483,0.590,0.483,0.590,0.483,--,--,0.590,0.483,5.000,10.000,5.000,10.000,5.000,10.000,--,--,5.000,10.000,4.000,8.000,4.000,8.000,4.000,8.000,--,--,4.000,8.000,6.000,8.000,6.000,8.000,6.000,8.000,--,--,6.000,8.000,11.000,6.000,11.000,6.000,11.000,6.000,--,--,11.000,6.000,0.046,0.067,0.046,0.067,0.046,0.067,--,--,0.046,0.067,0.082,0.050,0.082,0.050,0.082,0.050,--,--,0.082,0.050,23.000,29.000,23.000,29.000,23.000,29.000,--,--,23.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,--,--,29.000,29.000,24.000,10.000,24.000,10.000,24.000,10.000,--,--,24.000,10.000,12.000,18.000,12.000,18.000,12.000,18.000,--,--,12.000,18.000,0.932,1.028,0.932,1.028,0.932,1.028,--,--,0.932,1.028,1.000,0.944,1.000,0.944,1.000,0.944,--,--,1.000,0.944
24-Oct,Memphis,,Miami,,2.5,1,,,,,Miami,,Memphis,,,128.000,121.000,128.000,121.000,128.000,121.000,128.000,--,--,121.000,122.000,125.000,122.000,125.000,122.000,125.000,122.000,--,--,125.000,1.152,1.083,1.152,1.083,1.152,1.083,1.152,--,--,1.083,1.098,1.119,1.098,1.119,1.098,1.119,1.098,--,--,1.119,--,0.000,--,1.000,11.000,12.000,11.000,12.000,11.000,12.000,11.000,--,--,12.000,10.000,12.000,10.000,12.000,10.000,12.000,10.000,--,--,12.000,6.000,10.000,6.000,10.000,6.000,10.000,6.000,--,--,10.000,33.000,37.000,33.000,37.000,33.000,37.000,33.000,--,--,37.000,0.477,0.505,0.477,0.505,0.477,0.505,0.477,--,--,0.505,12.000,4.000,12.000,4.000,12.000,4.000,12.000,--,--,4.000,4.000,7.000,4.000,7.000,4.000,7.000,4.000,--,--,7.000,5.000,9.000,5.000,9.000,5.000,9.000,5.000,--,--,9.000,10.000,8.000,10.000,8.000,10.000,8.000,10.000,--,--,8.000,0.039,0.075,0.039,0.075,0.039,0.075,0.039,--,--,0.075,0.085,0.066,0.085,0.066,0.085,0.066,0.085,--,--,0.066,20.000,26.000,20.000,26.000,20.000,26.000,20.000,--,--,26.000,20.000,23.000,20.000,23.000,20.000,23.000,20.000,--,--,23.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,--,--,17.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,--,--,15.000,0.901,0.937,0.901,0.937,0.901,0.937,0.901,--,--,0.937,1.018,0.946,1.018,0.946,1.018,0.946,1.018,--,--,0.946
24-Oct,San Antonio,,New Orleans,,4.5,0,,,,,San Antonio,,New Orleans,,,125.000,122.000,125.000,122.000,125.000,122.000,--,--,125.000,122.000,92.000,128.000,92.000,128.000,92.000,128.000,--,--,92.000,128.000,1.210,1.098,1.210,1.098,1.210,1.098,--,--,1.210,1.098,0.890,1.152,0.890,1.152,0.890,1.152,--,--,0.890,1.152,--,--,--,--,8.000,10.000,8.000,10.000,8.000,10.000,--,--,8.000,10.000,9.000,11.000,9.000,11.000,9.000,11.000,--,--,9.000,11.000,11.000,17.000,11.000,17.000,11.000,17.000,--,--,11.000,17.000,39.000,30.000,39.000,30.000,39.000,30.000,--,--,39.000,30.000,0.561,0.523,0.561,0.523,0.561,0.523,--,--,0.561,0.523,5.000,4.000,5.000,4.000,5.000,4.000,--,--,5.000,4.000,3.000,12.000,3.000,12.000,3.000,12.000,--,--,3.000,12.000,10.000,10.000,10.000,10.000,10.000,10.000,--,--,10.000,10.000,5.000,5.000,5.000,5.000,5.000,5.000,--,--,5.000,5.000,0.089,0.085,0.089,0.085,0.089,0.085,--,--,0.089,0.085,0.044,0.039,0.044,0.039,0.044,0.039,--,--,0.044,0.039,24.000,20.000,24.000,20.000,24.000,20.000,--,--,24.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,--,--,20.000,20.000,15.000,15.000,15.000,15.000,15.000,15.000,--,--,15.000,15.000,16.000,17.000,16.000,17.000,16.000,17.000,--,--,16.000,17.000,0.961,1.018,0.961,1.018,0.961,1.018,--,--,0.961,1.018,0.932,0.901,0.932,0.901,0.932,0.901,--,--,0.932,0.901
24-Oct,Dallas,,Washington,,9.5,1,,,,,Washington,,Dallas,,,92.000,120.000,92.000,120.000,92.000,120.000,92.000,--,--,120.000,125.000,133.000,125.000,133.000,125.000,133.000,125.000,--,--,133.000,0.890,1.111,0.890,1.111,0.890,1.111,0.890,--,--,1.111,1.210,1.231,1.210,1.231,1.210,1.231,1.210,--,--,1.231,--,--,--,--,9.000,17.000,9.000,17.000,9.000,17.000,9.000,--,--,17.000,8.000,18.000,8.000,18.000,8.000,18.000,8.000,--,--,18.000,9.000,13.000,9.000,13.000,9.000,13.000,9.000,--,--,13.000,28.000,43.000,28.000,43.000,28.000,43.000,28.000,--,--,43.000,0.439,0.558,0.439,0.558,0.439,0.558,0.439,--,--,0.558,3.000,4.000,3.000,4.000,3.000,4.000,3.000,--,--,4.000,5.000,6.000,5.000,6.000,5.000,6.000,5.000,--,--,6.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,--,--,5.000,10.000,8.000,10.000,8.000,10.000,8.000,10.000,--,--,8.000,0.044,0.044,0.044,0.044,0.044,0.044,0.044,--,--,0.044,0.089,0.066,0.089,0.066,0.089,0.066,0.089,--,--,0.066,20.000,23.000,20.000,23.000,20.000,23.000,20.000,--,--,23.000,24.000,31.000,24.000,31.000,24.000,31.000,24.000,--,--,31.000,16.000,13.000,16.000,13.000,16.000,13.000,16.000,--,--,13.000,15.000,8.000,15.000,8.000,15.000,8.000,15.000,--,--,8.000,0.932,1.000,0.932,1.000,0.932,1.000,0.932,--,--,1.000,0.961,0.981,0.961,0.981,0.961,0.981,0.961,--,--,0.981
24-Oct,Minnesota,,LA Lakers,,2.5,0,,,,,Minnesota,,LA Lakers,,,118.000,109.000,118.000,109.000,118.000,109.000,--,109.000,118.000,--,114.000,119.000,114.000,119.000,114.000,119.000,--,119.000,114.000,--,1.063,1.095,1.063,1.095,1.063,1.095,--,1.095,1.063,--,1.027,1.196,1.027,1.196,1.027,1.196,--,1.196,1.027,--,1.000,--,0.000,--,15.000,8.000,15.000,8.000,15.000,8.000,--,8.000,15.000,--,13.000,17.000,13.000,17.000,13.000,17.000,--,17.000,13.000,--,10.000,8.000,10.000,8.000,10.000,8.000,--,8.000,10.000,--,35.000,36.000,35.000,36.000,35.000,36.000,--,36.000,35.000,--,0.473,0.551,0.473,0.551,0.473,0.551,--,0.551,0.473,--,10.000,2.000,10.000,2.000,10.000,2.000,--,2.000,10.000,--,3.000,4.000,3.000,4.000,3.000,4.000,--,4.000,3.000,--,9.000,7.000,9.000,7.000,9.000,7.000,--,7.000,9.000,--,10.000,10.000,10.000,10.000,10.000,10.000,--,10.000,10.000,--,0.076,0.063,0.076,0.063,0.076,0.063,--,0.063,0.076,--,0.083,0.093,0.083,0.093,0.083,0.093,--,0.093,0.083,--,21.000,23.000,21.000,23.000,21.000,23.000,--,23.000,21.000,--,25.000,29.000,25.000,29.000,25.000,29.000,--,29.000,25.000,--,19.000,19.000,19.000,19.000,19.000,19.000,--,19.000,19.000,--,16.000,18.000,16.000,18.000,16.000,18.000,--,18.000,16.000,--,0.919,0.889,0.919,0.889,0.919,0.889,--,0.889,0.919,--,0.919,0.940,0.919,0.940,0.919,0.940,--,0.940,0.919,--
24-Oct,Golden State,,Portland,,2.5,0,,,,,Golden State,,Portland,,,128.000,114.000,128.000,114.000,137.000,114.000,137.000,114.000,119.000,--,120.000,118.000,120.000,118.000,131.000,118.000,131.000,118.000,109.000,--,1.229,1.027,1.229,1.027,1.260,1.027,1.260,1.027,1.196,--,1.152,1.063,1.152,1.063,1.204,1.063,1.204,1.063,1.095,--,--,0.000,--,1.000,17.500,13.000,17.500,13.000,18.000,13.000,18.000,13.000,17.000,--,12.000,15.000,12.000,15.000,16.000,15.000,16.000,15.000,8.000,--,11.000,7.000,11.000,7.000,10.000,7.000,10.000,7.000,12.000,--,32.000,32.000,32.000,32.000,33.000,32.000,33.000,32.000,31.000,--,0.482,0.527,0.482,0.527,0.515,0.527,0.515,0.527,0.449,--,3.500,3.000,3.500,3.000,3.000,3.000,3.000,3.000,4.000,--,3.000,10.000,3.000,10.000,4.000,10.000,4.000,10.000,2.000,--,10.500,10.000,10.500,10.000,11.000,10.000,11.000,10.000,10.000,--,7.500,9.000,7.500,9.000,8.000,9.000,8.000,9.000,7.000,--,0.094,0.083,0.094,0.083,0.095,0.083,0.095,0.083,0.093,--,0.065,0.076,0.065,0.076,0.067,0.076,0.067,0.076,0.063,--,31.000,25.000,31.000,25.000,33.000,25.000,33.000,25.000,29.000,--,27.000,21.000,27.000,21.000,31.000,21.000,31.000,21.000,23.000,--,13.500,16.000,13.500,16.000,9.000,16.000,9.000,16.000,18.000,--,16.000,19.000,16.000,19.000,13.000,19.000,13.000,19.000,19.000,--,0.976,0.919,0.976,0.919,1.009,0.919,1.009,0.919,0.940,--,0.918,0.919,0.918,0.919,0.945,0.919,0.945,0.919,0.889,--
