Date,Fav,Dog
2025-11-21,Detroit,Charlotte
2025-11-21,Minnesota,Toronto
2025-11-21,San Antonio,Utah
2025-11-21,Los Angeles,Orlando
2025-11-22,Philadelphia,Brooklyn
2025-11-22,Boston,Washington
2025-11-22,Golden State,New Orleans
2025-11-22,Milwaukee,Indiana
2025-11-22,Atlanta,Chicago
2025-11-22,Houston,Portland
2025-11-22,Denver,Dallas
2025-11-22,Sacremento,Sacramento
2025-11-23,New York,Utah
2025-11-23,Orlando,Detroit
2025-11-23,Memphis,Chicago
2025-11-23,Houston,Portland
2025-11-23,Milwaukee,Charlotte
2025-11-23,Golden State,San Antonio
2025-11-23,Los Angeles,Denver
2025-11-24,Boston,Minnesota
2025-11-24,Indiana,Washington
2025-11-24,Miami,Dallas
2025-11-24,LA Clippers,Philadelphia
2025-11-24,Cleveland,Toronto
2025-11-24,Sacremento,Brooklyn
2025-11-25,Orlando,Charlotte
2025-11-25,Detroit,Toronto
2025-11-25,Indiana,New Orleans
2025-11-25,Atlanta,Dallas
2025-11-25,Boston,LA Clippers
2025-11-25,Memphis,Portland
2025-11-25,Denver,New York
2025-11-25,Golden State,Brooklyn
2025-11-25,Oklahoma City,Sacramento
2025-11-26,Chicago,Washington
2025-11-26,Miami,Milwaukee
2025-11-26,Minnesota,Houston
2025-11-26,San Antonio,Utah
2025-11-26,Phoenix,Los Angeles
2025-11-27,Miami,Charlotte
2025-11-27,Cleveland,Atlanta
2025-11-27,Indiana,Portland
2025-11-27,Orlando,Chicago
2025-11-27,Houston,Philadelphia
2025-11-27,LA Clippers,Washington
2025-11-27,New York,Dallas
2025-11-27,Memphis,Detroit
2025-11-27,Minnesota,Sacramento
2025-11-27,New Orleans,Toronto
2025-11-27,LA Lakers,San Antonio
2025-11-27,Pheonix,Brooklyn
2025-11-27,Denver,Utah
2025-11-27,Okla City,Golden State
2025-11-29,New York,Charlotte
2025-11-29,Cleveland,Atlanta
2025-11-29,Memphis,New Orleans
2025-11-29,Orlando,Brooklyn
2025-11-29,Minnesota,LA Clippers
2025-11-29,Indiana,Detroit
2025-11-29,Miami,Toronto
2025-11-29,Boston,Chicago
2025-11-29,Okla City,LA Lakers
2025-11-29,Sacremento,Sacramento
2025-11-30,Atlanta,Charlotte
2025-11-30,Detroit,Philadelphia
2025-11-30,Milwaukee,Washington
2025-11-30,Pheonix,Golden State
2025-11-30,Dallas,Utah
2025-12-01,Orlando,Brooklyn
2025-12-01,Memphis,Indiana
2025-12-01,Boston,Cleveland
2025-12-01,New York,New Orleans
2025-12-01,Miami,Toronto
2025-12-01,Okla City,Houston
2025-12-01,LA Lakers,Utah
2025-12-01,Dallas,Portland
2025-12-01,Sacremento,San Antonio
2025-12-01,Denver,LA Clippers
2025-12-02,Atlanta,New Orleans
2025-12-02,Boston,Miami
2025-12-02,Chicago,Brooklyn
2025-12-02,Minnesota,LA Lakers
2025-12-03,Philadelphia,Charlotte
2025-12-03,Cleveland,Washington
2025-12-03,Milwaukee,Detroit
2025-12-03,New York,Orlando
2025-12-03,Indiana,Toronto
2025-12-03,Okla City,Utah
2025-12-03,Dallas,Memphis
2025-12-03,Pheonix,San Antonio
2025-12-03,Denver,Golden State
2025-12-03,Sacremento,Houston
2025-12-03,LA Clippers,Portland
2025-12-04,Boston,Detroit
2025-12-04,Indiana,Brooklyn
2025-12-04,Miami,LA Lakers
2025-12-04,Orlando,Philadelphia
2025-12-04,Milwaukee,Atlanta
2025-12-04,Minnesota,LA Clippers
2025-12-05,Cleveland,Denver
2025-12-05,Dallas,Washington
2025-12-05,New York,Charlotte
2025-12-05,Okla City,Oklahoma City
2025-12-05,Memphis,Sacramento
2025-12-05,Pheonix,Phoenix
2025-12-05,San Antonio,Chicago
2025-12-05,Houston,Golden State
2025-12-06,Orlando,Philadelphia
2025-12-06,Atlanta,Los Angeles
2025-12-06,Boston,Milwaukee
2025-12-06,Indiana,Chicago
2025-12-06,Sacramento,San Antonio
2025-12-06,Minnesota,Golden State
2025-12-06,Portland,Utah
2025-12-07,Cleveland,Charlotte
2025-12-07,Denver,Washington
2025-12-07,Oklahoma City,New Orleans
2025-12-07,New York,Detroit
2025-12-07,Dallas,Toronto
2025-12-07,Boston,Memphis
2025-12-07,Miami,Phoenix
2025-12-08,Philadelphia,Chicago
2025-12-08,Milwaukee,Brooklyn
2025-12-08,Indiana,Charlotte
2025-12-08,Atlanta,Denver
2025-12-08,Cleveland,Miami
2025-12-08,Orlando,Pheonix
2025-12-08,Memphis,Washington
2025-12-08,San Antonio,New Orleans
2025-12-08,Golden State,Minnesota
2025-12-08,Houston,LA Clippers
2025-12-08,Sacramento,Utah
2025-12-08,Los Angeles,Portland
2025-12-09,New York,Toronto
2025-12-10,Milwaukee,Orlando
2025-12-10,Oklahoma City,Dallas
2025-12-11,New York,Atlanta
2025-12-11,Houston,Golden State
2025-12-12,Boston,Detroit
2025-12-12,Miami,Toronto
2025-12-12,Sacramento,New Orleans
2025-12-13,Cleveland,Washington
2025-12-13,Philadelphia,Indiana
2025-12-13,Minnesota,Los Angeles
2025-12-13,Memphis,Brooklyn
2025-12-13,Chicago,Charlotte
2025-12-13,Denver,LA Clippers
2025-12-13,Phoenix,Utah
2025-12-13,San Antonio,Portland
2025-12-14,Milwaukee,Atlanta
2025-12-14,Oklahoma City,Houston
2025-12-15,Indiana,New Orleans
2025-12-15,Boston,Washington
2025-12-15,New York,Orlando
2025-12-15,Minnesota,San Antonio
2025-12-15,Phoenix,Portland
2025-12-15,Dallas,Golden State
2025-12-15,Memphis,Los Angeles
2025-12-16,Philadelphia,Charlotte
2025-12-16,Miami,Detroit
2025-12-16,Chicago,Toronto
2025-12-16,Cleveland,Brooklyn
2025-12-16,Sacramento,Denver
2025-12-16,LA Clippers,Utah
2025-12-17,Oklahoma City,Milwaukee
2025-12-19,Detroit,Utah
2025-12-19,Okla City,Orlando
2025-12-19,Charlotte,Washington
2025-12-19,Boston,Chicago
2025-12-19,Toronto,Brooklyn
2025-12-19,Houston,New Orleans
2025-12-19,Memphis,Golden State
2025-12-19,San Antonio,Atlanta
2025-12-19,Dallas,LA Clippers
2025-12-19,Phoenix,Indiana
2025-12-19,Minnesota,New York
2025-12-19,Denver,Portland
2025-12-19,Sacramento,LA Lakers
2025-12-20,Philadelphia,Charlotte
2025-12-20,Cleveland,Milwaukee
2025-12-20,Okla City,Miami
2025-12-21,Sacramento,LA Lakers
2025-12-21,Orlando,Miami
2025-12-21,Memphis,Atlanta
2025-12-21,Brooklyn,Utah
2025-12-21,Cleveland,Philadelphia
2025-12-21,Boston,Chicago
2025-12-21,Milwaukee,Washington
2025-12-21,Minnesota,Golden State
2025-12-21,New York,New Orleans
2025-12-21,Dallas,LA Clippers
2025-12-21,San Antonio,Portland
2025-12-21,Phoenix,Detroit
2025-12-22,Houston,Toronto
2025-12-22,Sacramento,Indiana
2025-12-22,Denver,New Orleans
2025-12-23,Houston,Charlotte
2025-12-23,Cleveland,Utah
2025-12-23,Boston,Orlando
2025-12-23,Philadelphia,San Antonio
2025-12-23,Minnesota,Atlanta
2025-12-23,Miami,Brooklyn
