Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-19,Charlotte,Houston,101,105,Houston,STATUS_FINAL
2026-02-19,Cleveland,Brooklyn,112,84,Cleveland,STATUS_FINAL
2026-02-19,Philadelphia,Atlanta,107,117,Atlanta,STATUS_FINAL
2026-02-19,Washington,Indiana,112,105,Washington,STATUS_FINAL
2026-02-19,New York,Detroit,111,126,Detroit,STATUS_FINAL
2026-02-19,Chicago,Toronto,101,110,Toronto,STATUS_FINAL
2026-02-19,San Antonio,Phoenix,121,94,San Antonio,STATUS_FINAL
2026-02-19,Golden State,Boston,110,121,Boston,STATUS_FINAL
2026-02-19,Sacramento,Orlando,94,131,Orlando,STATUS_FINAL
2026-02-19,LA,Denver,115,114,LA,STATUS_FINAL
