ID,id2,date,favorite,underdog,home_favorite,Emailed Out,Pick Favorite?,Pick Home?,Win?,Running Average,spread,fav_odds,dog_odds,logistic_prob,linear_prob,rf_prob
46042La LakersDenver,46042,1/20/26,La Lakers,Denver,0,1,0,1,0,0,2.5,-104,-101,0.524245486,0.522684918,0.506936682
46042Golden StateToronto,46042,1/20/26,Golden State,Toronto,1,1,0,0,0,0,3.5,-107,100,0.421965088,0.348407373,0.34143002
46043MemphisAtlanta,46043,1/21/26,Memphis,Atlanta,1,1,0,0,1,0.333333333,1.5,-105,-104,0.393474832,0.323019886,0.28525495
46043DetroitNew Orleans,46043,1/21/26,Detroit,New Orleans,0,1,1,0,0,0.25,10.5,-110,-110,0.534691508,0.54140575,0.588128813
46043Okla CityMilwaukee,46043,1/21/26,Okla City,Milwaukee,0,1,0,1,0,0.2,9.5,-106,-105,0.418356521,0.38341412,0.337004041
46043TorontoSacramento,46043,1/21/26,Toronto,Sacramento,0,1,1,0,1,0.333333333,5.5,-111,-102,0.516158813,0.518888813,0.504176561
46044OrlandoCharlotte,46044,1/22/26,Orlando,Charlotte,1,1,0,0,1,0.428571429,6.5,104,-107,0.425054827,0.392793403,0.422027417
46046PhiladelphiaNew York,46046,1/24/26,Philadelphia,New York,1,1,0,0,1,0.5,1.5,-110,-110,0.326424458,0.205495399,0.36556345
46046OrlandoCleveland,46046,1/24/26,Orlando,Cleveland,1,1,0,0,1,0.555555556,2.5,102,-109,0.385370314,0.320278326,0.292811719
46046La LakersDallas,46046,1/24/26,La Lakers,Dallas,0,1,0,1,1,0.6,3.5,-113,105,0.491126621,0.474749187,0.410959555
46048CharlottePhiladelphia,46048,1/26/26,Charlotte,Philadelphia,1,1,1,1,1,0.636363636,2.5,101,-108,0.591798259,0.61440598,0.553218302
46048MinnesotaGolden State,46048,1/26/26,Minnesota,Golden State,1,1,1,1,1,0.666666667,7.5,105,-117,0.513776435,0.501055428,0.426646199
46049PortlandWashington,46049,1/27/26,Portland,Washington,0,1,0,1,1,0.692307692,6.5,-110,107,0.409489726,0.376964913,0.39854918
46049PhoenixBrooklyn,46049,1/27/26,Phoenix,Brooklyn,1,1,0,0,1,0.714285714,8.5,-109,106,0.358090638,0.234693604,0.509695093
46049La ClippersUtah,46049,1/27/26,La Clippers,Utah,0,1,0,1,0,0.666666667,8.5,-110,-110,0.420253076,0.359255684,0.351461596
46050ChicagoIndiana,46050,1/28/26,Chicago,Indiana,0,1,1,0,0,0.625,2.5,100,-106,0.578847069,0.597615376,0.553385254
46050MiamiOrlando,46050,1/28/26,Miami,Orlando,1,1,0,0,1,0.647058824,2.5,-109,102,0.296690211,0.185918806,0.283494727
46050MinnesotaDallas,46050,1/28/26,Minnesota,Dallas,0,1,0,1,0,0.611111111,6.5,-110,103,0.399857028,0.303937301,0.318910702
46051MilwaukeeWashington,46051,1/29/26,Milwaukee,Washington,0,1,0,1,1,0.631578947,2.5,-102,-104,0.265167798,0.082693636,0.353881286
46051CharlotteDallas,46051,1/29/26,Charlotte,Dallas,0,1,1,0,0,0.6,4.5,105,-114,0.846609748,1,0.799375133
46051Okla CityMinnesota,46051,1/29/26,Okla City,Minnesota,0,1,0,1,1,0.619047619,6.5,-107,100,0.624256238,0.691188503,0.548439047
46053MinnesotaMemphis,46053,1/31/26,Minnesota,Memphis,0,1,0,1,0,0.590909091,8.5,-108,-105,0.390157053,0.339483326,0.324962724
46053HoustonDallas,46053,1/31/26,Houston,Dallas,1,1,0,0,1,0.608695652,10.5,-115,103,0.431431117,0.403589665,0.410583468
46054DetroitBrooklyn,46054,2/1/26,Detroit,Brooklyn,1,1,0,0,0,0.583333333,13.5,112,-120,0.408830659,0.368798708,0.358316965
46054SacramentoWashington,46054,2/1/26,Sacramento,Washington,0,1,0,1,1,0.6,2.5,100,-103,0.575792285,0.623191881,0.666725794
46054Okla CityDenver,46054,2/1/26,Okla City,Denver,0,1,1,0,1,0.615384615,7.5,-102,101,0.751392189,0.9125357,0.625937472
46057New YorkDenver,46057,2/4/26,New York,Denver,1,1,0,0,0,0.592592593,6.5,-110,-110,0.320283452,0.223077798,0.337031764
46057MinnesotaToronto,46057,2/4/26,Minnesota,Toronto,0,1,0,1,0,0.571428571,1.5,-103,100,0.465665426,0.436313265,0.476063345
46057HoustonBoston,46057,2/4/26,Houston,Boston,1,1,0,0,1,0.586206897,7.5,-104,-104,0.363173252,0.307716658,0.308489334
